professor credentials,# Topics Covered,Price,Student Feedback,Student Success Rate,Difficulty,GPA,# Awards,Output
2,6,378,4.6,0.36,1.3,2.0,0,0.6
3,5,216,2.0,0.28,2.2,3.6,0,2.5
0,2,323,3.7,0.54,2.3,1.0,0,2.5
2,8,437,2.2,0.14,3.9,1.6,2,7.0
2,6,138,3.1,0.8,3.6,3.0,0,7.1
3,2,365,3.2,0.07,4.5,0.9,3,1.5
0,5,63,1.7,0.99,2.9,0.3,4,10.0
0,1,291,4.9,0.77,1.5,1.2,0,2.7
2,6,314,4.1,0.2,3.9,0.6,2,9.8
1,9,395,4.8,0.01,4.0,3.7,2,4.1
2,1,102,4.6,0.82,3.2,3.2,0,0.3
2,3,435,3.4,0.71,4.1,2.5,4,3.5
2,7,389,4.7,0.73,3.0,3.5,0,6.3
2,4,141,1.4,0.77,3.1,3.2,2,6.8
3,9,416,1.8,0.07,2.7,0.7,1,5.3
0,3,493,1.2,0.36,1.1,3.6,3,4.5
3,5,477,2.3,0.12,1.4,2.2,2,5.5
3,3,313,2.6,0.86,1.1,3.2,0,5.9
3,7,480,2.1,0.62,3.5,3.6,3,0.8
2,5,84,4.3,0.33,2.3,1.3,0,3.7
